Cloanto ® AnimText - Bullion AnimFont Data - Copyright © 1995, 1996 Cloanto Italia srl - All Rights Reserved
0
-10
32 -- 32 0
33 exclam 29 37
36 dollar 71 23
37 percent 73 13
38 ampersand 72 19
44 comma 23 40
46 period 22 40
48 0 62 25
49 1 37 36
50 2 57 26
51 3 62 24
52 4 59 21
53 5 61 24
54 6 63 23
55 7 56 28
56 8 60 25
57 9 62 24
60 -- -1 0
62 -- 1 0
63 question 58 23
65 A 72 19
66 B 61 26
67 C 63 22
68 D 65 23
69 E 59 22
70 F 58 26
71 G 65 23
72 H 65 20
73 I 31 37
74 J 56 29
75 K 68 20
76 L 53 29
77 M 83 12
78 N 65 20
79 O 65 23
80 P 60 26
81 Q 65 22
82 R 63 24
83 S 61 25
84 T 57 25
85 U 62 26
86 V 73 17
87 W 93 6
88 X 70 20
89 Y 74 16
90 Z 61 24
